"Year","Month","Symbol","Volume","MonthlyReturns"
"2016","05","VLGEA",30514.2857142857,0.110655770702921
"2016","06","VLGEA",30400,0.0660516229882664
"2016","07","VLGEA",33215,0.0951886486015416
"2016","08","VLGEA",18778.2608695652,0.0110619591726109
"2016","09","VLGEA",22095.2380952381,0.000625150064336388
"2016","10","VLGEA",50266.6666666667,-0.0659168639063479
"2016","11","VLGEA",106176.19047619,0.154849472235351
"2016","12","VLGEA",53819.0476190476,-0.105125956822884
"2017","01","VLGEA",31755,-0.0197410585933186
"2017","02","VLGEA",27531.5789473684,-0.022449662747524
"2017","03","VLGEA",36321.7391304348,-0.10503210220348
"2017","04","VLGEA",28284.2105263158,-0.00415096642836088
"2017","05","VLGEA",20995.4545454545,-0.0572186534219526
"2017","06","VLGEA",40695.4545454545,0.0418006812945286
"2017","07","VLGEA",38435,-0.0459105142961004
"2017","08","VLGEA",29578.2608695652,-0.0646987630847744
"2017","09","VLGEA",36960,0.0696066004655316
"2017","10","VLGEA",41550,-0.0303152791810274
"2017","11","VLGEA",34461.9047619048,0.0691954924239142
"2017","12","VLGEA",42780,-0.10604285979753
"2018","01","VLGEA",25976.1904761905,0.0239860108914347
"2018","02","VLGEA",27873.6842105263,0.00936972849200357
"2018","03","VLGEA",27171.4285714286,0.112658227440613
"2018","04","VLGEA",22447.619047619,0.0314751572730774
"2018","05","VLGEA",25790.9090909091,0.0676470625359293
"2018","06","VLGEA",37919.0476190476,0.0144627464085494
"2018","07","VLGEA",22557.1428571429,-0.0858791194134948
"2018","08","VLGEA",20960.8695652174,0.0835499433532336
"2018","09","VLGEA",15526.3157894737,-0.0678546785993394
"2018","10","VLGEA",24352.1739130435,-0.0941176949075335
"2018","11","VLGEA",23814.2857142857,0.10754876588967
"2018","12","VLGEA",31589.4736842105,-0.0201539437873834
"2019","01","VLGEA",24414.2857142857,0.00560955945453245
"2019","02","VLGEA",24552.6315789474,0.139828944374364
"2019","03","VLGEA",34295.2380952381,-0.108319730379932
"2019","04","VLGEA",34914.2857142857,0.0750091197505778
"2019","05","VLGEA",29122.7272727273,-0.0987065929669211
"2019","06","VLGEA",37970,0.00113295646390243
"2019","07","VLGEA",30100,-0.0558279716883561
"2019","08","VLGEA",28413.6363636364,-0.00239717825189789
"2019","09","VLGEA",26670,0.0592711850333703
"2019","10","VLGEA",20578.2608695652,0.00189033026912444
